Wife,Żona
Husband,Mąż
Son,Syn
Almost,Prawie
Half,Pół
Professions,Zawody
Actor,Aktor
Photographer,Fotograf
Policeman,Policjant
Engineer,Inżynier
Musician,Muzyk
Pensioner,Emeryt
Farmer,Rolnik
Waiter,Kelner
Businessman,Biznesmen
Clerk,Urzędnik
Doctor,Lekarz
Dancer,Tancerz
Journalist,Dziennikarz
Cook,Kucharz
IT specialist,Informatyk
Dentist,Dentysta
Painter,Malarz
Poet,Poeta
Politician,Polityk
Artist,Artysta
President,Prezydent
Architect,Architekt
Biologist,Biolog
Driver,Kierowca
Break,Przerwa
Together,Razem
Writer,Pisarz
Capital,Stolica
City,Miasto
Building,Budynek
Step,Krok
Planet,Planety
To worry,Martw się
To paint,Malować
