To be bored,Nudzić się
Host,Gospodarz
Mom,Mama
Dad,Tata
Daughter,Córka
Brother,Brat
Sister,Siostra
To look for,Szukać
Dish,Danie
Tasty,Smaczny
House,Dom
Mushroom,Grzyb
To cook,Gotować
Can,Móc
To know how to,Umieć
It's a pity,To szkoda
Maybe,Może
To watch,Oglądać
Car,Samochód
Office,Biuro
To mail,Mailować
To travel,Podróżować
To call,Telefonować
To discuss,Dyskutować
To take a walk,Spacerować
To sleep,Spać
Something,Coś
Of course,Jasne
Bright,Jasny
To prefer,Woleć
Computer,Komputer
Photo,Zdjęcie
Nothing,Nic
