In order to,Aby
Lawyer,Adwokat
Current,Aktualny
Or,Albo
Safety,Bezpieczeżstwo
Goal (sports),Bramka
Stomach,Brzuch
Illness,Choroba
Cut,Cięcie
Pressure,Ciśnienie
Whatever,Cokolwiek
Human,Człowiek
Former,Dawny
Adult,Dorosły
Available,Dostępny
Proof,Dowód
Guy,Facet
Fact,Fakt
Cooking pot,Garnek
Suit,Garnitur
Gas,Gaz
When,Gdy
When?,Kiedy
Economy,Gospodarka
Star,Gwiazda
Trade,Handel
Card,Karta
Piece,Kawałek
Each,Każdy
Lie,Kłamstwo
Queue,Kolejka
Concentration,Koncentracja
Account,Konto
Benefit,Korzyść
Edge,Krawędź
Course,Kurs
Treatment,Leczenie
Bed,Łóżko
Dead,Martwy
Between,Między
Power,Moc
Possible,Możliwy
Suddenly,Nagle
On the other hand,Natomiast
Nature,Natura
Scientist,Naukowiec
Independent,Niezależny
Rest,Odpoczynek
Responsability,Odpowiedzialność
Huge,Ogromny
Father,Ojciec
Mother,Matka
Around,Około
Personal,Osobisty
Memory,Pamięć
Pistol,Pistolet
Beach,Plaża
Back,Plecy
Just,Po prostu
Under,Pod
Tax,Podatek
Room,Pokój
Field,Pole
Despite,Pomimo
Again,Ponownie
Popular,Popularny
Serious,Poważny
Legal,Prawny
Violence,Przemoc
Past,Przeszłość
Box,Pudełko
Bill,Rachunek
Cancer,Rak
Religious,Religijny
Plant,Roślina
Size,Rozmiar
Difference,Różnica
Solution,Rozwiązanie
Risk,Ryzyko
Indeed,Rzeczywiście
Court,Sąd
Wall,Ściana
Sex,Seks
Middle,Środek
Fear,Strach
Loss,Strata
Strategy,Strategia
Structure,Struktura
Shot,Strzał
Well (woda),Studnia
Light,Światło
Detail,Szczegół
Peak,Szczyt
Wide,Szeroki
Ago,Temu
Theory,Teoria
Grammar,Gramatyka
Participant,Uczestnik
Feeling,Uczucie
Successful,Udany
Ability,Umiejętność
Mind,Umysł
Weight,Waga
Finally,Wreszcie
Exception,Wyjątek
Behavior,Zachowanie
Both,Zarówno
Soldier,Żołnierz
