Sleepy,Zaspany
Enjoy your meal,Smacznego
Gladly,Chętnie
To feel like,Mieć ochotę
Jam,Dżem
Ham,Szynka
Lemon,Cytryna
Butter,Masło
Sausage,Kiełbasa
Cucumber,Ogórek
Margarine,Margaryna
Cocoa,Kakao
Yogurt,Jogurt
Than,Niż
Acusative,Biernik
In the morning,Rano
Morning,Poranek
Door,Drzwi
Knife,Nóż
Spoon,Łyżka
Fork,Widelec
Dark,Ciemny
More,Bardziej
Usually,Zwykle
Soft,Miękki
Hard,Twardy
Mayonnaise,Majonez
Instrumental,Narzędnik
Hot,Gorący
Cold,Zimny
Strawberry,Truskawka
Late,Późno
To smile,Uśmiechać się
Frying pan,Patelnia
Product,Produkt
Pineapple,Ananas
Grammatical case,Przypadek gramatyczny
With,Z
Always,Zawsze
Without,Bez
If,Jeśli
Strong,Mocny
Weak,Słaby
Skinny,Chudy
Lunch,Obiad
Stereotype,Stereotyp
Sauce,Sos
Favorite,Ulubiony
Often,Często
Sea,Morze
Plural,Liczba mnoga
Singular,Liczba pojedyncza
To change (perfective),Zmienić
To change (imperfective),Zmieniać
Delicious,Pyszny
Of course,Oczywiście
Omelette,Omlet
